"Diapositiva","NombreForma","TipoForma"
"4","NOMBRE","1"
"4","NOMBRE","1"
"4","NOMBRE","1"
"5","COLOR 1","17"
"5","COLOR 1","5"
"5","COLOR 1","5"
"5","FONDO 2","1"
"5","TEMATICA","5"
"5","TEMATICA","17"
"5","EDAD","1"
"5","NOMBRE","1"
"6","TextBox 3","17"
"6","Freeform 4","5"
"6","Freeform 5","5"
"6","FONDO 3","5"
"6","Straight Connector 42","9"
"6","Straight Connector 44","9"
"6","Straight Connector 47","9"
"6","Straight Connector 52","9"
"6","Straight Connector 54","9"
"6","Straight Connector 58","9"
"6","Straight Connector 60","9"
"6","Straight Connector 62","9"
"6","Straight Connector 64","9"
"6","Straight Connector 71","9"
"6","Straight Connector 73","9"
"6","Straight Connector 78","9"
"6","Straight Connector 80","9"
"6","Flecha: cheurón 2","5"
"6","PNG 2","1"
"6","PNG 10","1"
"6","NOMBRE","1"
"6","NOMBRE","1"
"7","Flecha: cheurón 2","5"
"7","TextBox 4","17"
"7","TextBox 5","17"
"7","Freeform 6","5"
"7","Freeform 7","5"
"7","Freeform 8","5"
"7","Freeform 9","5"
"7","COLORSECUNDARIO","5"
"7","COLORPRIMARIO","5"
"7","COLORPRIMARIO","5"
"7","COLORTERCIARIO","5"
"7","DISEÑOLETRA","17"
"7","DISEÑOLETRA","17"
"7","DISEÑOLETRA","17"
"7","DISEÑOLETRA","17"
"7","COLORSECUNDARIO","5"
"7","DISEÑOLETRA","17"
"7","COLORTERCIARIO 2","5"
"7","COLORSECUNDARIO","5"
"7","COLORPRIMARIO","5"
"7","DISEÑOLETRA","17"
"7","DISEÑOLETRA","17"
"7","DISEÑOLETRA","17"
"7","COLORPRIMARIO","5"
"7","COLORTERCIARIO 3","5"
"7","COLORSECUNDARIO","5"
"7","DISEÑOLETRA","17"
"7","DISEÑOLETRA","17"
"7","DISEÑOLETRA","17"
"7","FONDO 1","5"
"7","DISEÑOLETRA","17"
"7","FONDO 1","5"
"7","DISEÑOLETRA","17"
"7","FONDO 1","5"
"7","DISEÑOLETRA","17"
"7","FONDO 1","5"
"7","DISEÑOLETRA","17"
"7","FONDO 1","5"
"7","DISEÑOLETRA","17"
"7","FONDO 1","5"
"7","DISEÑOLETRA","17"
"7","PNG 3","1"
"7","PNG 2","1"
"7","PNG 3","1"
"7","PNG 4","1"
"7","PNG 5","1"
"7","PNG 7","1"
"8","TextBox 2","17"
"8","CONTENIDO","17"
"8","TextBox 4","17"
"8","PNG 3","1"
"9","Rectangle 1","1"
"10","Rectangle 1","1"
"11","NOMBRE","1"
